|negative|,|plot : two teen couples go to a church party , drink and then drive . |
|negative|,|they get into an accident . |
|negative|,|one of the guys dies , but his girlfriend continues to see him in her life , and has nightmares . |
|negative|,|what's the deal ? |
|negative|,|watch the movie and " sorta " find out . . . |
|negative|,|critique : a mind-fuck movie for the teen generation that touches on a very cool idea , but presents it in a very bad package . |
|negative|,|which is what makes this review an even harder one to write , since i generally applaud films which attempt to break the mold , mess with your head and such ( lost highway & memento ) , but there are good and bad ways of making all types of films , and these folks just didn't snag this one correctly . |
|negative|,|they seem to have taken this pretty neat concept , but executed it terribly . |
|negative|,|so what are the problems with the movie ? |
|negative|,|well , its main problem is that it's simply too jumbled . |
|negative|,|it starts off " normal " but then downshifts into this " fantasy " world in which you , as an audience member , have no idea what's going on . |
|negative|,|there are dreams , there are characters coming back from the dead , there are others who look like the dead , there are strange apparitions , there are disappearances , there are a looooot of chase scenes , there are tons of weird things that happen , and most of it is simply not explained . |
|negative|,|now i personally don't mind trying to unravel a film every now and then , but when all it does is give me the same clue over and over again , i get kind of fed up after a while , which is this film's biggest problem . |
|negative|,|it's obviously got this big secret to hide , but it seems to want to hide it completely until its final five minutes . |
|negative|,|and do they make things entertaining , thrilling or even engaging , in the meantime ? |
|negative|,|not really . |
|negative|,|the sad part is that the arrow and i both dig on flicks like this , so we actually figured most of it out by the half-way point , so all of the strangeness after that did start to make a little bit of sense , but it still didn't the make the film all that more entertaining . |
|negative|,|i guess the bottom line with movies like this is that you should always make sure that the audience is " into it " even before they are given the secret password to enter your world of understanding . |
|negative|,|i mean , showing melissa sagemiller running away from visions for about 20 minutes throughout the movie is just plain lazy ! ! |
|negative|,|okay , we get it . . . there |
|negative|,|are people chasing her and we don't know who they are . |
|negative|,|do we really need to see it over and over again ? |
|negative|,|how about giving us different scenes offering further insight into all of the strangeness going down in the movie ? |
|negative|,|apparently , the studio took this film away from its director and chopped it up themselves , and it shows . |
|negative|,|there might've been a pretty decent teen mind-fuck movie in here somewhere , but i guess " the suits " decided that turning it into a music video with little edge , would make more sense . |
